transaction_id,sender,receiver,amount,timestamp,account_age_days,transaction_type,fraud_flag
106,10046,20057,32234.45,2026-01-26 11:15:23.295295,798,UPI,0
107,10034,20042,28074.17,2026-01-14 07:52:23.295295,504,RTGS,0
108,10021,20091,47175.22,2026-03-02 15:56:23.295295,577,IMPS,0
109,10072,20077,44310.01,2026-02-05 08:45:23.295295,494,NEFT,0
110,10088,20040,9164.02,2025-12-31 19:11:23.295295,591,IMPS,0
111,10025,20058,21672.2,2026-01-01 01:18:23.295295,864,UPI,0
112,10059,20042,17939.38,2026-01-27 09:18:23.295295,670,RTGS,0
113,10078,20069,39345.21,2026-01-03 06:57:23.295295,510,NEFT,0
114,10043,20000,19460.63,2026-02-06 22:42:23.295295,159,NEFT,0
115,10063,20011,21405.74,2026-01-16 14:32:23.295295,387,UPI,0
116,10097,20098,35277.6,2026-01-08 02:27:23.295295,954,RTGS,0
117,10038,20082,7282.57,2025-12-31 14:11:23.295295,428,NEFT,0
118,10040,20051,22595.56,2026-02-23 05:56:23.295295,673,RTGS,0
119,10053,20086,14247.21,2026-01-01 04:40:23.295295,213,NEFT,0
120,10092,20005,15108.64,2026-01-29 17:07:23.295295,727,NEFT,0
121,10039,20058,30525.06,2026-01-23 03:32:23.295295,262,UPI,1
122,10010,20011,13633.62,2026-02-13 07:07:23.295295,521,UPI,0
123,10010,20037,14990.91,2026-01-07 07:58:23.295295,112,RTGS,0
124,10043,20090,24713.74,2026-01-16 03:56:23.295295,9,RTGS,0
125,10074,20070,32793.04,2026-01-18 23:15:23.295295,811,UPI,0
126,10079,20057,47975.51,2026-01-23 02:03:23.295295,928,NEFT,0
127,10069,20065,48843.68,2026-01-06 22:25:23.295295,463,NEFT,0
128,10034,20099,37969.91,2026-02-20 12:01:23.295295,368,NEFT,0
129,10088,20099,26441.43,2026-02-28 22:33:23.295295,70,NEFT,0
130,10063,20013,5217.39,2026-02-15 16:18:23.295295,487,RTGS,0
131,10079,20029,38589.13,2026-01-23 06:26:23.295295,640,NEFT,0
132,10040,20075,8180.6,2026-02-23 16:48:23.295295,520,UPI,0
133,10015,20028,43144.75,2026-02-19 14:10:23.295295,265,IMPS,0
134,10013,20004,5376.25,2026-02-16 20:51:23.295295,288,UPI,0
135,10018,20027,14092.87,2026-03-04 00:42:23.295295,825,IMPS,0
136,10072,20098,7126.29,2026-02-15 07:01:23.295295,592,RTGS,0
137,10008,20053,49409.69,2026-02-14 05:12:23.295295,751,NEFT,0
138,10046,20060,33565.38,2026-01-11 15:54:23.295295,3,UPI,1
139,10017,20047,27392.83,2026-01-30 19:49:23.295295,23,NEFT,0
140,10034,20017,19746.49,2026-02-14 15:10:23.295295,208,IMPS,0
141,10036,20022,37501.85,2026-01-20 09:29:23.295295,537,UPI,0
142,10073,20022,9828.88,2026-01-03 04:43:23.295295,459,RTGS,0
143,10024,20077,46473.04,2026-01-02 02:05:23.295295,149,NEFT,0
144,10081,20006,49018.5,2025-12-30 13:03:23.295295,897,NEFT,0
145,10003,20085,21954.9,2026-02-10 08:00:23.295295,775,RTGS,0
146,10009,20034,22921.75,2026-01-22 08:46:23.295295,907,RTGS,0
147,10066,20004,5122.33,2026-01-14 04:14:23.295295,750,RTGS,0
148,10054,20068,8080.78,2026-02-16 03:20:23.295295,913,RTGS,0
149,10009,20023,48971.97,2026-02-06 05:07:23.295295,174,UPI,0
150,10024,20036,28755.56,2026-01-16 14:54:23.295295,210,RTGS,0
151,10083,20074,30568.01,2026-01-04 14:39:23.295295,704,UPI,0
152,10092,20099,30792.92,2026-01-19 01:51:23.295295,275,UPI,0
153,10082,20060,40304.9,2026-02-13 10:23:23.295295,728,NEFT,0
154,10050,20066,48463.13,2026-01-16 09:46:23.295295,557,NEFT,0
155,10081,20094,9340.43,2026-02-18 05:55:23.295295,821,RTGS,0
156,10047,20088,32379.71,2026-01-19 01:37:23.295295,184,IMPS,0
157,10067,20009,30506.01,2026-01-05 17:34:23.295295,794,UPI,0
158,10087,20068,31149.47,2026-01-23 12:24:23.295295,503,NEFT,0
159,10070,20020,10167.72,2026-01-17 23:41:23.295295,974,NEFT,0
160,10010,20080,47583.14,2026-01-30 12:15:23.295295,74,IMPS,0
161,10034,20057,26206.57,2026-01-16 05:14:23.295295,512,NEFT,0
162,10008,20049,9380.95,2026-03-02 20:14:23.295295,916,NEFT,0
163,10010,20079,25067.09,2025-12-28 12:31:23.295295,273,NEFT,1
164,10060,20021,6954.8,2026-02-27 04:02:23.295295,365,NEFT,0
165,10054,20076,328.24,2026-02-12 07:01:23.295295,336,NEFT,0
166,10095,20089,18033.92,2026-03-03 11:04:23.295295,898,IMPS,0
167,10099,20090,22876.56,2026-02-24 08:54:23.295295,440,IMPS,0
168,10047,20025,30851.72,2025-12-26 04:22:23.295295,652,RTGS,0
169,10002,20018,38194.37,2026-01-14 22:27:23.295295,998,RTGS,0
170,10096,20005,23341.48,2025-12-30 23:10:23.295295,470,IMPS,0
171,10039,20045,27502.41,2026-02-25 09:48:23.295295,419,NEFT,0
172,10075,20025,25793.26,2026-01-09 15:10:23.295295,94,RTGS,0
173,10002,20018,40885.48,2026-01-08 02:44:23.295295,916,NEFT,0
174,10094,20002,11839.47,2026-01-20 07:26:23.295295,51,UPI,0
175,10082,20002,10918.08,2026-02-03 20:27:23.295295,185,NEFT,0
176,10090,20001,26175.22,2026-02-11 13:51:23.295295,922,NEFT,0
177,10074,20000,7197.23,2026-01-19 14:29:23.295295,909,NEFT,0
178,10053,20024,3800.44,2026-01-26 16:28:23.295295,359,UPI,1
179,10055,20085,33027.0,2026-01-24 13:10:23.295295,301,UPI,0
180,10015,20095,22323.24,2026-02-27 14:47:23.295295,88,IMPS,0
181,10092,20087,28712.54,2026-01-12 10:21:23.295295,392,NEFT,0
182,10074,20035,17151.27,2026-01-22 10:30:23.295295,748,UPI,0
183,10013,20079,22721.63,2026-01-18 06:54:23.295295,619,UPI,0
184,10008,20026,24119.86,2026-01-03 14:52:23.295295,444,NEFT,0
185,10073,20014,7781.58,2026-02-23 20:06:23.295295,717,RTGS,0
186,10087,20071,38241.81,2026-01-05 22:54:23.295295,292,UPI,0
187,10020,20027,5524.02,2026-02-06 19:57:23.295295,329,RTGS,0
188,10093,20043,17185.82,2026-02-22 09:19:23.295295,31,IMPS,0
189,10020,20038,21359.65,2026-02-25 09:56:23.295295,871,IMPS,0
190,10003,20052,20853.34,2026-01-22 12:36:23.295295,204,UPI,0
191,10056,20039,39956.2,2026-02-13 14:16:23.295295,115,RTGS,0
192,10076,20008,16811.37,2026-01-02 11:03:23.295295,355,NEFT,0
193,10083,20068,31915.47,2026-02-08 08:21:23.295295,920,RTGS,0
194,10045,20059,4990.54,2026-01-15 10:12:23.295295,528,UPI,0
195,10056,20087,3642.24,2026-02-23 08:03:23.295295,746,IMPS,0
196,10068,20010,13786.61,2026-01-06 19:34:23.295295,223,RTGS,0
197,10034,20051,33711.61,2026-03-02 03:28:23.295295,74,UPI,0
198,10092,20047,42817.53,2026-02-18 03:40:23.295295,176,IMPS,0
199,10017,20096,21678.86,2026-02-18 19:25:23.295295,688,IMPS,0
200,10043,20054,48175.65,2026-02-08 05:11:23.295295,368,IMPS,0
201,10100,20039,42100.78,2026-02-07 03:26:23.295295,904,NEFT,0
202,10018,20009,15454.85,2026-02-28 12:15:23.295295,108,RTGS,1
203,10068,20012,37207.75,2026-01-07 04:32:23.295295,687,RTGS,0
204,10068,20082,34856.42,2026-02-24 21:32:23.295295,979,IMPS,0
205,10025,20069,39955.91,2025-12-26 01:02:23.295295,768,RTGS,0
206,10056,20014,11726.49,2026-03-03 00:57:23.295295,265,IMPS,0
207,10015,20068,13524.41,2025-12-30 10:34:23.295295,848,IMPS,0
208,10089,20010,29325.41,2026-02-23 07:34:23.295295,595,NEFT,0
209,10097,20093,10114.62,2026-02-23 00:10:23.295295,266,UPI,0
210,10077,20010,18363.33,2026-02-09 21:17:23.295295,86,RTGS,0
211,10031,20070,45808.98,2026-01-08 12:25:23.295295,134,IMPS,0
212,10099,20081,16783.34,2026-02-05 01:40:23.295295,948,NEFT,0
213,10022,20005,15207.95,2025-12-26 07:38:23.295295,99,NEFT,0
214,10073,20038,1503.68,2025-12-28 22:38:23.295295,692,IMPS,0
215,10025,20042,3934.48,2026-02-05 12:33:23.295295,743,NEFT,0
216,10054,20096,44300.13,2026-01-23 09:42:23.295295,871,NEFT,0
217,10023,20051,1924.07,2026-02-09 20:04:23.295295,358,RTGS,0
218,10050,20097,31735.75,2025-12-31 13:02:23.295295,919,NEFT,0
219,10004,20016,35430.67,2026-02-28 04:10:23.295295,515,UPI,0
220,10098,20051,45300.46,2026-01-14 06:33:23.295295,971,RTGS,0
221,10056,20052,36216.65,2025-12-27 08:18:23.295295,143,RTGS,0
222,10072,20067,19315.59,2026-03-01 16:22:23.295295,223,NEFT,0
223,10045,20016,4893.03,2026-02-22 09:10:23.295295,322,RTGS,0
224,10041,20100,12725.59,2026-02-04 21:14:23.295295,527,NEFT,0
225,10018,20083,46043.29,2025-12-27 01:49:23.295295,444,UPI,0
226,10078,20071,39295.62,2026-02-20 05:20:23.295295,293,UPI,0
227,10055,20012,24578.64,2026-02-16 20:21:23.295295,562,NEFT,0
228,10065,20079,24581.55,2026-01-31 09:02:23.295295,176,RTGS,0
229,10064,20099,25183.22,2026-03-01 20:14:23.295295,217,NEFT,0
230,10091,20028,4040.66,2026-01-02 15:01:23.295295,895,NEFT,0
231,10034,20061,6692.36,2026-01-15 12:09:23.295295,60,UPI,0
232,10097,20050,32072.0,2026-02-11 09:29:23.295295,939,IMPS,0
233,10096,20016,890.11,2026-01-12 02:25:23.295295,920,IMPS,0
234,10082,20085,29326.34,2026-02-10 10:49:23.295295,403,UPI,0
235,10039,20093,30838.02,2026-02-18 22:29:23.295295,914,UPI,0
236,10088,20071,8753.08,2026-01-21 00:40:23.295295,112,IMPS,0
237,10029,20096,17046.59,2026-03-04 02:35:23.295295,400,RTGS,0
238,10086,20032,938.52,2026-01-02 14:41:23.295295,192,IMPS,0
239,10079,20074,35702.39,2026-01-16 07:53:23.295295,545,UPI,0
240,10019,20013,22229.04,2025-12-26 12:29:23.295295,520,RTGS,0
241,10062,20019,24873.68,2026-01-02 18:27:23.295295,660,IMPS,0
242,10068,20071,21619.29,2026-01-05 04:43:23.295295,462,RTGS,0
243,10012,20011,33545.99,2026-02-01 00:48:23.295295,762,UPI,0
244,10040,20030,39415.21,2026-02-04 23:41:23.295295,213,NEFT,0
245,10010,20036,4030.92,2026-01-13 03:02:23.295295,654,IMPS,0
246,10048,20020,49093.67,2026-01-18 17:46:23.295295,847,NEFT,0
247,10020,20007,1393.7,2026-02-05 14:31:23.295295,509,NEFT,0
248,10026,20010,23519.1,2026-01-04 11:28:23.295295,825,IMPS,0
249,10064,20004,40427.18,2026-02-03 13:26:23.295295,949,UPI,0
250,10075,20017,35378.02,2026-01-25 07:59:23.295295,25,NEFT,1
251,10061,20084,16079.73,2026-01-22 00:03:23.295295,781,UPI,0
252,10049,20014,22354.97,2026-01-03 02:41:23.295295,252,IMPS,0
253,10036,20089,21679.4,2026-02-25 17:59:23.295295,86,NEFT,0
254,10006,20100,36874.67,2026-01-16 08:40:23.295295,333,IMPS,0
255,10001,20096,1599.6,2026-02-10 19:31:23.295295,383,NEFT,0
256,10079,20029,19587.91,2026-01-01 09:14:23.295295,59,RTGS,0
257,10096,20006,40205.72,2025-12-25 09:46:23.295295,3,NEFT,1
258,10096,20053,43862.86,2026-01-28 03:29:23.295295,369,NEFT,0
259,10072,20003,47182.81,2026-03-04 16:16:23.295295,933,RTGS,0
260,10009,20047,22529.43,2026-01-08 05:28:23.295295,351,NEFT,0
261,10054,20076,16060.08,2025-12-31 04:51:23.295295,237,UPI,0
262,10045,20012,9401.02,2026-02-10 22:02:23.295295,362,NEFT,0
263,10099,20100,38501.94,2026-01-07 18:00:23.295295,231,NEFT,0
264,10012,20008,1276.37,2026-01-29 21:10:23.295295,471,NEFT,0
265,10012,20015,19721.75,2026-01-20 15:32:23.295295,601,IMPS,0
266,10052,20074,18053.9,2026-02-06 19:40:23.295295,799,IMPS,0
267,10054,20056,22329.5,2026-02-08 10:58:23.295295,125,RTGS,0
268,10008,20050,30624.8,2026-01-10 02:51:23.295295,471,RTGS,0
269,10024,20039,27957.06,2026-03-04 17:16:23.295295,761,NEFT,0
270,10080,20039,28089.1,2026-01-11 01:58:23.295295,533,NEFT,0
271,10028,20034,47688.32,2026-01-17 03:39:23.295295,157,IMPS,0
272,10004,20072,1506.3,2026-02-10 20:26:23.295295,714,UPI,0
273,10079,20027,23024.54,2026-01-26 17:04:23.295295,896,UPI,0
274,10054,20019,41113.82,2026-02-17 10:02:23.295295,349,RTGS,0
275,10028,20061,4947.55,2025-12-29 23:10:23.295295,206,IMPS,0
276,10070,20008,38461.61,2026-01-17 10:17:23.295295,523,NEFT,0
277,10027,20034,15022.45,2026-01-27 02:47:23.295295,187,NEFT,0
278,10075,20024,7896.41,2026-01-18 09:43:23.295295,14,RTGS,1
279,10086,20085,1137.64,2026-02-05 07:50:23.295295,303,UPI,0
280,10049,20050,17312.13,2025-12-27 21:54:23.295295,919,IMPS,0
281,10023,20097,27292.03,2025-12-31 11:15:23.295295,804,NEFT,0
282,10092,20026,2454.48,2026-02-13 07:42:23.295295,497,RTGS,0
283,10087,20039,33314.22,2026-01-31 03:54:23.295295,983,UPI,0
284,10084,20031,16895.52,2026-02-02 08:14:23.295295,501,UPI,1
285,10045,20092,12377.99,2026-03-02 03:44:23.295295,263,NEFT,0
286,10037,20025,30142.18,2026-01-11 08:12:23.295295,505,IMPS,0
287,10007,20028,7393.83,2026-03-04 14:03:23.295295,173,UPI,0
288,10048,20056,40928.3,2026-01-09 20:30:23.295295,920,NEFT,0
289,10035,20024,45948.72,2026-01-07 06:48:23.295295,410,UPI,0
290,10055,20090,27754.95,2026-02-13 12:08:23.295295,909,RTGS,0
291,10087,20012,31152.75,2026-03-04 01:41:23.295295,643,UPI,0
292,10065,20009,21471.41,2026-02-15 21:41:23.295295,59,IMPS,0
293,10041,20036,38244.73,2026-01-29 01:08:23.295295,889,IMPS,0
294,10053,20070,3878.5,2026-01-24 21:39:23.295295,700,UPI,0
295,10059,20084,33646.09,2026-01-23 18:13:23.295295,968,RTGS,0
296,10009,20022,31781.36,2026-01-10 16:00:23.295295,247,RTGS,0
297,10066,20032,39642.6,2026-01-05 04:49:23.295295,625,RTGS,0
298,10054,20039,5594.2,2026-01-05 19:54:23.295295,179,RTGS,0
299,10094,20048,41657.63,2026-01-14 04:40:23.295295,601,RTGS,0
300,10061,20024,19516.66,2025-12-31 04:02:23.295295,121,IMPS,0
301,10039,20013,16778.19,2026-02-26 08:36:23.295295,421,IMPS,0
302,10076,20023,40681.94,2026-01-14 11:30:23.295295,453,RTGS,0
303,10062,20100,20275.28,2026-01-22 20:42:23.295295,997,RTGS,0
304,10002,20051,48552.27,2026-01-20 01:20:23.295295,154,UPI,0
305,10058,20070,3569.99,2026-02-11 09:14:23.295295,640,RTGS,0
306,10032,20076,3442.04,2026-01-27 09:43:23.295295,821,NEFT,0
307,10013,20051,6741.67,2026-01-06 12:37:23.295295,917,UPI,0
308,10045,20063,33585.01,2026-01-22 06:36:23.295295,158,UPI,0
309,10093,20009,1790.63,2026-02-12 01:47:23.295295,800,RTGS,0
310,10011,20027,44636.48,2026-02-01 16:50:23.295295,227,IMPS,0
311,10030,20040,12410.82,2026-01-31 12:25:23.295295,55,RTGS,1
312,10037,20032,1929.59,2026-02-26 20:27:23.295295,592,NEFT,0
313,10062,20065,44309.02,2025-12-30 05:10:23.295295,441,RTGS,0
314,10088,20067,12827.55,2026-02-11 06:06:23.295295,392,IMPS,0
315,10060,20077,35454.19,2026-02-11 23:41:23.295295,989,NEFT,0
316,10029,20045,13560.43,2025-12-28 20:04:23.295295,340,IMPS,0
317,10043,20066,28685.87,2026-02-06 06:58:23.295295,489,NEFT,0
318,10048,20081,41189.03,2026-02-03 09:14:23.295295,570,RTGS,0
319,10037,20096,29892.91,2026-03-01 08:04:23.295295,289,UPI,0
320,10026,20020,2649.93,2026-02-19 04:31:23.295295,431,IMPS,0
321,10031,20029,18745.13,2026-02-18 13:37:23.295295,565,IMPS,0
322,10023,20029,26292.82,2026-01-21 22:43:23.295295,342,IMPS,0
323,10089,20060,24582.13,2026-02-28 18:15:23.295295,958,NEFT,0
324,10049,20056,5410.58,2026-02-20 07:09:23.295295,517,UPI,0
325,10073,20073,41339.84,2026-02-13 23:54:23.295295,539,RTGS,1
326,10008,20019,16153.47,2026-02-11 13:04:23.295295,940,IMPS,0
327,10043,20075,40124.84,2026-02-13 07:38:23.295295,477,UPI,0
328,10000,20027,18008.7,2026-03-02 11:18:23.295295,899,RTGS,0
329,10060,20050,14824.96,2026-02-01 22:06:23.295295,829,UPI,0
330,10034,20060,19341.08,2026-01-16 16:08:23.295295,934,IMPS,0
331,10018,20030,36074.94,2026-01-04 15:05:23.295295,109,NEFT,0
332,10035,20040,35588.86,2025-12-28 15:44:23.295295,771,NEFT,0
333,10009,20074,3091.21,2026-02-11 13:25:23.295295,123,RTGS,0
334,10022,20000,48901.22,2026-03-02 13:16:23.295295,27,NEFT,1
335,10025,20051,1295.93,2026-02-02 16:34:23.295295,162,NEFT,0
336,10043,20068,44979.11,2025-12-26 09:02:23.295295,442,UPI,0
337,10082,20087,40915.79,2026-02-16 08:55:23.295295,384,NEFT,0
338,10036,20041,16128.43,2026-02-06 06:22:23.295295,995,IMPS,0
339,10097,20073,44998.91,2026-02-05 21:18:23.295295,790,NEFT,0
340,10077,20000,44447.95,2026-01-05 17:33:23.295295,740,NEFT,0
341,10094,20097,35032.05,2026-01-03 07:37:23.295295,177,NEFT,0
342,10075,20073,5454.25,2026-01-26 14:58:23.295295,301,NEFT,0
343,10049,20085,36704.51,2026-01-16 13:12:23.295295,986,UPI,0
344,10020,20095,45542.31,2026-03-03 20:39:23.295295,858,RTGS,0
345,10042,20034,19643.72,2026-02-07 19:03:23.295295,40,IMPS,0
346,10096,20079,28326.43,2026-01-24 10:39:23.295295,939,NEFT,0
347,10088,20088,16022.94,2026-02-19 15:20:23.295295,345,NEFT,0
348,10096,20008,11153.62,2025-12-30 15:09:23.295295,890,RTGS,0
349,10047,20098,41106.05,2026-02-04 20:20:23.295295,388,NEFT,0
350,10040,20001,1918.18,2026-02-10 00:54:23.295295,766,IMPS,0
351,10061,20078,28489.09,2026-02-19 13:24:23.295295,979,NEFT,0
352,10060,20083,32601.61,2026-01-31 18:09:23.295295,651,RTGS,0
353,10013,20003,44166.3,2026-02-18 17:23:23.295295,488,NEFT,0
354,10039,20022,10016.34,2026-02-23 07:50:23.295295,934,RTGS,0
355,10034,20055,33433.46,2026-01-17 17:39:23.295295,932,IMPS,0
356,10038,20004,40175.05,2026-02-08 23:26:23.295295,971,UPI,0
357,10094,20088,41088.39,2026-03-01 15:18:23.295295,756,RTGS,0
358,10035,20042,4482.26,2026-02-26 21:32:23.295295,55,IMPS,0
359,10052,20048,12464.84,2026-01-25 20:46:23.295295,875,NEFT,0
360,10001,20069,34833.86,2025-12-27 22:30:23.295295,781,UPI,0
361,10015,20086,47406.21,2026-02-14 06:55:23.295295,213,IMPS,0
362,10087,20074,8413.49,2026-02-07 05:51:23.295295,373,RTGS,0
363,10007,20052,13854.53,2026-02-05 12:30:23.295295,334,RTGS,0
364,10006,20029,7186.16,2026-01-31 18:16:23.295295,207,UPI,0
365,10001,20091,605.22,2026-01-09 13:55:23.295295,214,RTGS,0
366,10099,20070,21402.74,2026-02-10 15:31:23.295295,272,UPI,0
367,10086,20020,26651.15,2026-02-26 09:47:23.295295,527,UPI,0
